name,rank,branch,incidentdate,state,day,month,year,pop1950
"ALLEN, HERBERT",Pvt,UNITED STATES ARMY,2/12/51,PENNSYLVANIA,12,2,1951,10498012
"ALLEN, JACK",Capt,UNITED STATES AIR FORCE,7/1/53,CALIFORNIA,1,7,1953,10586223
"ALLEN, KENNETH",Cpl,UNITED STATES ARMY,4/23/51,OHIO,23,4,1951,7946627
"ALLEN, MARCELLOUS",Pvt,UNITED STATES ARMY,9/30/51,ALABAMA,30,9,1951,3060000
"ALLEY, RAY",Pvt,UNITED STATES ARMY,6/16/53,KENTUCKY,16,6,1953,2957000
"ALLIE, RICHARD",Pfc,UNITED STATES ARMY,2/1/53,IOWA,1,2,1953,2621000
"ALLISON, JAMES",Cpl,UNITED STATES MARINE CORPS,11/28/50,TENNESSEE,28,11,1950,3304000
"ALLMARAS, JACOB",Cpl,UNITED STATES ARMY,5/13/51,NORTH DAKOTA,13,5,1951,616000
"ALLMOND, JOHN",Pvt,UNITED STATES ARMY,8/28/50,MARYLAND,28,8,1950,2376000
"ALLRED, ROBERT",SSgt,UNITED STATES AIR FORCE,4/21/51,CALIFORNIA,21,4,1951,10586223
"ALLSTON, JAMES",2nd Lt,UNITED STATES AIR FORCE,6/16/53,NEW YORK,16,6,1953,14830192
"ALLUMS, MORRIS",Sfc,UNITED STATES ARMY,12/1/50,ALABAMA,1,12,1950,3060000
"ALMEIDA, BERNARD",Pvt,UNITED STATES ARMY,7/6/53,RHODE ISLAND,6,7,1953,779000
"ALPERN, EDWARD",1st Lt,UNITED STATES AIR FORCE,4/8/51,NEW YORK,8,4,1951,14830192
"ALTAVILLA, FRANCIS",Pvt,UNITED STATES ARMY,7/8/53,MASSACHUSETTS,8,7,1953,4690000
"ALUMBAUGH, LLOYD",Cpl,UNITED STATES ARMY,11/28/50,MISSOURI,28,11,1950,3946000
"ALVA, ROBERTO",Sfc,UNITED STATES ARMY,11/27/50,TEXAS,27,11,1950,7748000
"ALVARADO, RICHARD",PFC,UNITED STATES MARINE CORPS,11/27/50,TEXAS,27,11,1950,7748000
"ALVARADO, SANTOS",Pfc,UNITED STATES ARMY,6/29/52,ARIZONA,29,6,1952,756000
"ALVAREZ, DANIEL",SN,UNITED STATES NAVY,12/6/50,CALIFORNIA,6,12,1950,10586223
"ALVAREZ, HUGO",Cpl,UNITED STATES ARMY,6/5/51,PUERTO RICO,5,6,1951,2210000
"AMARO-GARCIA, LUIS",Pfc,UNITED STATES ARMY,9/18/52,PUERTO RICO,18,9,1952,2210000
"AMBEAU, DONALD",Pvt,UNITED STATES ARMY,7/11/50,MICHIGAN,11,7,1950,6421000
"AMES, WILLIAM",Pfc,UNITED STATES ARMY,11/2/50,PENNSYLVANIA,2,11,1950,10498012
"AMIDON, DONALD",PFC,UNITED STATES MARINE CORPS,11/27/50,TEXAS,27,11,1950,7748000
"AMOS, CHARLES",Pfc,UNITED STATES ARMY,10/12/51,NORTH CAROLINA,12,10,1951,4060000
"AMOS, GENERAL",Pfc,UNITED STATES ARMY,11/25/50,LOUISIANA,25,11,1950,2701000
"ANCEL, ROBERT",Pvt,UNITED STATES ARMY,12/3/50,NEW YORK,3,12,1950,14830192
"ANCELET, CHRISTOPHER",Pfc,UNITED STATES ARMY,6/13/52,TEXAS,13,6,1952,7748000
"ANCTIL, LAURENCE",1st Lt,UNITED STATES AIR FORCE,1/27/51,MAINE,27,1,1951,911000
"ANDERLE, JAMES",1st Lt,UNITED STATES AIR FORCE,9/2/50,CALIFORNIA,2,9,1950,10586223
"ANDERSEN, HARRY",Pvt,UNITED STATES ARMY,9/6/51,SOUTH DAKOTA,6,9,1951,652000
"ANDERSON, BILLY",Sgt,UNITED STATES ARMY,1/1/51,ARIZONA,1,1,1951,756000
"ANDERSON, CARL",Pvt,UNITED STATES ARMY,12/3/50,PENNSYLVANIA,3,12,1950,10498012
"ANDERSON, DALE",LT,UNITED STATES NAVY,12/26/52,TEXAS,26,12,1952,7748000
"ANDERSON, DEWEY",Cpl,UNITED STATES ARMY,11/25/50,MICHIGAN,25,11,1950,6421000
"ANDERSON, DOUGLAS",Capt,UNITED STATES ARMY,7/12/50,ILLINOIS,12,7,1950,8712176
"ANDERSON, DUANE",Pfc,UNITED STATES ARMY,11/6/51,IOWA,6,11,1951,2621000
"ANDERSON, ELLSWORTH",Pfc,UNITED STATES ARMY,2/12/51,ILLINOIS,12,2,1951,8712176
"ANDERSON, FRANCIS",LT,UNITED STATES NAVY,1/28/53,SOUTH DAKOTA,28,1,1953,652000
"ANDERSON, GLENN",Pvt,UNITED STATES ARMY,10/14/52,MISSOURI,14,10,1952,3946000
"ANDERSON, JESSE",Pvt,UNITED STATES ARMY,12/6/50,OHIO,6,12,1950,7946627
"ANDERSON, JOHN",M/Sgt,UNITED STATES ARMY,12/1/50,TEXAS,1,12,1950,7748000
"ANDERSON, KEITH",Pvt,UNITED STATES ARMY,7/31/50,ARKANSAS,31,7,1950,1906000
"ANDERSON, LARRY",Pvt,UNITED STATES ARMY,7/16/50,MICHIGAN,16,7,1950,6421000
"ANDERSON, LLOYD",Pfc,UNITED STATES ARMY,5/19/51,ALABAMA,19,5,1951,3060000
"ANDERSON, MELVIN",1st Lt,UNITED STATES ARMY,11/27/50,PENNSYLVANIA,27,11,1950,10498012
"ANDERSON, NORBERT",Pfc,UNITED STATES ARMY,2/14/51,WISCONSIN,14,2,1951,3449000
"ANDERSON, OMER",Cpl,UNITED STATES ARMY,7/5/50,TEXAS,5,7,1950,7748000
"ANDERSON, ROBERT",1st Lt,UNITED STATES AIR FORCE,5/21/52,WISCONSIN,21,5,1952,3449000
"ANDERSON, ROBERT",Pfc,UNITED STATES ARMY,12/2/50,ARKANSAS,2,12,1950,1906000
"ANDERSON, ROY",Pfc,UNITED STATES ARMY,9/2/50,MINNESOTA,2,9,1950,2995000
"ANDERSON, STANLEY",2nd Lt,UNITED STATES ARMY,12/2/50,LOUISIANA,2,12,1950,2701000
"ANDERSON, WESLEY",Pfc,UNITED STATES ARMY,12/12/50,MICHIGAN,12,12,1950,6421000
"ANDERSON, WILLIAM",Cpl,UNITED STATES ARMY,11/27/50,OHIO,27,11,1950,7946627
"ANDINO-FONSECA, LOPE",Pvt,UNITED STATES ARMY,9/24/52,PUERTO RICO,24,9,1952,2210000
"ANDINO-PEREZ, EMILIANO",Pvt,UNITED STATES ARMY,12/9/50,PUERTO RICO,9,12,1950,2210000
"ANDREWS, CHARLES",2nd Lt,UNITED STATES AIR FORCE,5/3/51,TEXAS,3,5,1951,7748000
"ANDREWS, EARNEST",Cpl,UNITED STATES ARMY,11/30/50,ALABAMA,30,11,1950,3060000
"ANDREWS, HOWARD",Pvt,UNITED STATES ARMY,4/25/51,PENNSYLVANIA,25,4,1951,10498012
"ANDREWS, LEO",SN,UNITED STATES NAVY,3/7/53,ALABAMA,7,3,1953,3060000
"ANDREWS, LEON",Cpl,UNITED STATES ARMY,12/3/50,MAINE,3,12,1950,911000
"ANDREWS, ROBERT",Capt,UNITED STATES AIR FORCE,10/15/51,NEW YORK,15,10,1951,14830192
"ANDREWS, SHIRLEY",Pfc,UNITED STATES ARMY,9/7/50,MASSACHUSETTS,7,9,1950,4690000
"ANDRIDGE, HERBERT",Maj,UNITED STATES AIR FORCE,4/10/51,MICHIGAN,10,4,1951,6421000
"ANGELAKOS, NICK",Cpl,UNITED STATES ARMY,5/19/51,VI,19,5,1951,#N/A
"ANGELL, EUGENE",Pfc,UNITED STATES ARMY,7/16/50,WISCONSIN,16,7,1950,3449000
"ANGEVINE, ROBERT",Cpl,UNITED STATES ARMY,12/1/50,MICHIGAN,1,12,1950,6421000
"ANGLE, DONALD",Pfc,UNITED STATES ARMY,7/25/50,MARYLAND,25,7,1950,2376000
"ANGLES, GEORGE",Cpl,UNITED STATES ARMY,10/14/52,NEW YORK,14,10,1952,14830192
"ANSPAUGH, GEORGE",Sfc,UNITED STATES ARMY,5/17/51,INDIANA,17,5,1951,3952000
"ANTHONY, CHARLES",M/Sgt,UNITED STATES ARMY,11/28/50,GEORGIA,28,11,1950,3451000
"ANTHONY, ROY",Capt,UNITED STATES AIR FORCE,11/15/52,TENNESSEE,15,11,1952,3304000
"ANTONIO, VITTORIO",Pfc,UNITED STATES ARMY,11/30/50,RHODE ISLAND,30,11,1950,779000
"ANZALDUA, BALDOMERO",Cpl,UNITED STATES ARMY,7/12/50,TEXAS,12,7,1950,7748000
"APONTE-DELGADO, ROBERTO",PFC,UNITED STATES MARINE CORPS,10/6/52,OHIO,6,10,1952,7946627
"APONTE, FRANCISCO",Pfc,UNITED STATES ARMY,9/18/52,NEW YORK,18,9,1952,14830192
"APPENFELDER, JOSEPH",1st Lt,UNITED STATES ARMY,11/30/50,WASHINGTON,30,11,1950,2386000
"APT, DAVID",Pvt,UNITED STATES ARMY,11/21/50,VIRGINIA,21,11,1950,3262000
"ARAGONES, GREGORIO",Pvt,UNITED STATES ARMY,6/11/53,VI,11,6,1953,#N/A
"ARAMAN, MITCHELL",Sgt,UNITED STATES ARMY,7/11/53,NEW YORK,11,7,1953,14830192
"ARCENEAUX, HARRY",Sgt,UNITED STATES ARMY,11/5/52,ALABAMA,5,11,1952,3060000
"ARCHULETA, JOSE",Pvt,UNITED STATES ARMY,8/11/50,NEW MEXICO,11,8,1950,687000
"ARCURI, NICHOLAS",Pvt,UNITED STATES MARINE CORPS,12/2/50,NEW YORK,2,12,1950,14830192
"ARGETIS, JAMES",1st Lt,UNITED STATES AIR FORCE,1/23/52,COLORADO,23,1,1952,1337000
"ARIAS, FRANK",Pfc,UNITED STATES ARMY,7/20/50,CALIFORNIA,20,7,1950,10586223
"ARIAS, LAWRENCE",Sgt,UNITED STATES ARMY,11/30/50,VI,30,11,1950,#N/A
"ARIOLI, PETER",LT,UNITED STATES NAVY,12/3/50,ILLINOIS,3,12,1950,8712176
"ARIONUS, LYMAN",Pfc,UNITED STATES ARMY,11/30/50,MINNESOTA,30,11,1950,2995000
"ARMEL, CONRAD",1st Lt,UNITED STATES AIR FORCE,1/26/52,TEXAS,26,1,1952,7748000
"ARMENTROUT, JAMES",Cpl,UNITED STATES ARMY,5/18/51,WEST VIRGINIA,18,5,1951,2006000
"ARMS, JOHN",2nd Lt,UNITED STATES AIR FORCE,6/5/53,OHIO,5,6,1953,7946627
"ARMSTRONG, DAVID",1st Lt,UNITED STATES ARMY,11/28/50,PENNSYLVANIA,28,11,1950,10498012
"ARMSTRONG, JOHN",Pvt,UNITED STATES ARMY,11/30/50,TENNESSEE,30,11,1950,3304000
"ARNESON, DONALD",Sfc,UNITED STATES ARMY,4/25/51,NORTH DAKOTA,25,4,1951,616000
"ARNOLD, BEVERLY",1st Lt,UNITED STATES ARMY,11/2/50,CALIFORNIA,2,11,1950,10586223
"ARNOLD, WILLIAM",Sgt,UNITED STATES ARMY,9/27/52,CONNECTICUT,27,9,1952,2007280
"ARNOTT, DAVID",Pfc,UNITED STATES ARMY,7/9/53,CALIFORNIA,9,7,1953,10586223
"ARREDONDO, ISIDORE",Pfc,UNITED STATES ARMY,1/8/52,TEXAS,8,1,1952,7748000
"ARRIAGA, RAYMOND",Pfc,UNITED STATES ARMY,12/9/52,TEXAS,9,12,1952,7748000
"ARRIOLA, FERNANDO",Pfc,UNITED STATES ARMY,12/2/50,TEXAS,2,12,1950,7748000
"ARRIVEE, DAVID",LT,UNITED STATES NAVY,6/21/51,IDAHO,21,6,1951,592000
"ARWOOD, RECIL",Cpl,UNITED STATES ARMY,11/2/50,VIRGINIA,2,11,1950,3262000
"ASBURY, JAMES",Cpl,UNITED STATES ARMY,11/30/50,MISSOURI,30,11,1950,3946000
"ASHBAUGH, JAMES",Pfc,UNITED STATES ARMY,12/6/50,OHIO,6,12,1950,7946627
"ASHENFELTER, HENRY",Pfc,UNITED STATES ARMY,11/30/50,MASSACHUSETTS,30,11,1950,4690000
"ASHER, OLLIE",PFC,UNITED STATES MARINE CORPS,10/6/52,CALIFORNIA,6,10,1952,10586223
"ASHER, RALPH",Pfc,UNITED STATES ARMY,12/1/50,UTAH,1,12,1950,696000
"ASHEY, FRANCIS",Pvt,UNITED STATES ARMY,11/26/50,NEW HAMPSHIRE,26,11,1950,531000
"ASHLEY, GILBERT",1st Lt,UNITED STATES AIR FORCE,1/29/53,MARYLAND,29,1,1953,2376000
"ASHWORTH, ALTON",Sgt,UNITED STATES ARMY,12/2/50,OKLAHOMA,2,12,1950,2193000
"ASLA, FELIX",Maj,UNITED STATES AIR FORCE,8/1/52,OREGON,1,8,1952,1532000
"ASPILI, DAVID",Cpl,UNITED STATES MARINE CORPS,8/10/52,HAWAII,10,8,1952,491000
"ATCHISON, RALPH",Pfc,UNITED STATES ARMY,12/2/52,SOUTH CAROLINA,2,12,1952,2119000
"ATCHLEY, OREN",Lt Col,UNITED STATES ARMY,11/24/50,TEXAS,24,11,1950,7748000
"ATEN, FRED",Pfc,UNITED STATES ARMY,7/20/50,NEW JERSEY,20,7,1950,4860000
"ATHA, ROBERT",Pfc,UNITED STATES ARMY,2/13/51,NEVADA,13,2,1951,162000
"ATHEY, CHARLES",Cpl,UNITED STATES ARMY,10/1/52,WEST VIRGINIA,1,10,1952,2006000
"ATKINSON, BENNY",Sgt,UNITED STATES ARMY,2/13/51,KENTUCKY,13,2,1951,2957000
"ATKINSON, FRED",1st Lt,UNITED STATES AIR FORCE,7/14/53,NEW MEXICO,14,7,1953,687000
"ATTINGER, DOUGLAS",A2C,UNITED STATES AIR FORCE,6/11/52,PENNSYLVANIA,11,6,1952,10498012
"ATWATER, WILLIE",Cpl,UNITED STATES ARMY,6/20/51,FLORIDA,20,6,1951,2821000
"AUCOIN, JOSEPH",Sgt,UNITED STATES ARMY,10/22/50,MASSACHUSETTS,22,10,1950,4690000
"AUNCHMAN, CLARENCE",Cpl,UNITED STATES ARMY,5/19/51,VERMONT,19,5,1951,377000
"AUSTIN, ARTHUR",Capt,UNITED STATES AIR FORCE,4/27/51,WASHINGTON,27,4,1951,2386000
"AUSTIN, C",Pfc,UNITED STATES ARMY,12/2/50,TEXAS,2,12,1950,7748000
"AUSTIN, WAYNE",Pfc,UNITED STATES ARMY,2/12/51,IOWA,12,2,1951,2621000
"AVANT, JOE",Pfc,UNITED STATES ARMY,11/30/50,MISSISSIPPI,30,11,1950,2169000
"AVARELLO, CHARLES",2nd Lt,UNITED STATES AIR FORCE,6/29/50,NEW YORK,29,6,1950,14830192
"AVELINO, DOMINO",Sfc,UNITED STATES ARMY,11/30/50,VI,30,11,1950,#N/A
"AVENT, DAVID",Pfc,UNITED STATES ARMY,10/11/51,NORTH CAROLINA,11,10,1951,4060000
"AVERY, CHARLES",TSgt,UNITED STATES AIR FORCE,4/7/51,CALIFORNIA,7,4,1951,10586223
"AVERY, CLIFTON",Cpl,UNITED STATES ARMY,5/30/51,NEW YORK,30,5,1951,14830192
"AVERY, JACK",Cpl,UNITED STATES ARMY,9/19/51,OHIO,19,9,1951,7946627
"AVILA, ARTURO",Cpl,UNITED STATES ARMY,12/2/50,TEXAS,2,12,1950,7748000
"AYALA-ESQUILIN, ANGEL",Pfc,UNITED STATES ARMY,9/24/52,PUERTO RICO,24,9,1952,2210000
"AYALA, BERNARDO",PFC,UNITED STATES MARINE CORPS,12/4/50,TEXAS,4,12,1950,7748000
"AYEN, DONALD",Sfc,UNITED STATES ARMY,12/1/50,WISCONSIN,1,12,1950,3449000
"AYER, ELLIOTT",Capt,UNITED STATES AIR FORCE,7/25/52,FLORIDA,25,7,1952,2821000
"AYO, ALBERT",Pvt,UNITED STATES ARMY,7/16/50,NEW YORK,16,7,1950,14830192
"BABASA, JOSEPH",1st Lt,UNITED STATES AIR FORCE,7/9/51,CONNECTICUT,9,7,1951,2007280
"BABCOCK, GEORGE",Cpl,UNITED STATES ARMY,11/30/50,OHIO,30,11,1950,7946627
"BACA, ALEXANDER",Pfc,UNITED STATES ARMY,11/30/50,CALIFORNIA,30,11,1950,10586223
"BACARRO, FLORENTINO",Pfc,UNITED STATES ARMY,6/24/51,HAWAII,24,6,1951,491000
"BACH, RICHARD",Cpl,UNITED STATES ARMY,12/1/50,KANSAS,1,12,1950,1915000
"BACK, ARTHUR",Cpl,UNITED STATES ARMY,2/12/53,DISTRICT OF COLUMBIA,12,2,1953,814000
"BACKSTROM, JOHN",Cpl,UNITED STATES ARMY,11/5/51,MISSISSIPPI,5,11,1951,2169000
"BACON, RAYMOND",Cpl,UNITED STATES AIR FORCE,5/7/51,PENNSYLVANIA,7,5,1951,10498012
"BACZEWSKI, JOHN",Sgt,UNITED STATES MARINE CORPS,5/16/52,PENNSYLVANIA,16,5,1952,10498012
"BAECHLE, JAMES",Pfc,UNITED STATES ARMY,12/2/50,OHIO,2,12,1950,7946627
