date,year,month,weekday,type,event,description,media
2017-05-21,2017,5,1,Missile Provocation,Medium-range Ballistic Missile Launch,North Korea launched a Pukguksong-2 missile from a location near Lake Yonpung in South Pyongan province. According to South Korean sources the missile travelled approximately 500 km (310 miles) and was similar to the PGS-2 launch in February 2017.,http://www.reuters.com/article/us-northkorea-missiles-idUSKBN18H0A6
2017-05-14,2017,5,1,Missile Provocation,Intermediate-range Ballistic Missile Launch,North Korea launched a new type of intermediate-range missile called the Hwasong-12 from a location near Kusong on the northwest coast of the country. The missile may be similar to the type launched from the same area in October 2016.,http://www.cnn.com/2017/05/14/asia/north-korea-missile-test-russia-japan/index.html
2017-04-29,2017,4,7,Missile Provocation,Intermediate-range Ballistic Missile Launch,North Korea launched what appeared to be a Hwasong-12 (KN-17) missile from a location in South Pyongan province.  The missile failed shortly after launch and flew only about 20 miles.,http://www.cnn.com/2017/04/28/world/north-korea-missile-launch/index.html
2017-04-16,2017,4,1,Missile Provocation,Intermediate-range Ballistic Missile Launch,"North Korea attempted to launch a missile from a location near Sinpo, South Hamgyong province. The missile exploded shortly after launch. This latest missile test comes just hours before U.S. Vice President Mike Pence is scheduled to arrive in South Korea for a visit.",http://www.cnn.com/2017/04/15/asia/north-korea-missile-test/
2017-04-05,2017,4,4,Missile Provocation,Intermediate-range Ballistic Missile Launch,North Korea reportedly fired a Hwasong-12 (KN-17) missile from a location near the eastern coastal city of Sinpo. The liquid-fueled missile flew 37 miles into the East Sea. The missile launch occurred about one day before a summit meeting between U.S. president Donald Trump and Chinese president Xi Jinping.,http://www.reuters.com/article/us-northkorea-missiles-idUSKBN1762XX
2017-03-24,2017,3,6,Other,Rocket Engine Test,North Korea claimed to have successfully tested a high-powered solid-fuel rocket engine for its ballistic missiles which could indicate significant improvements in the regime’s missile attack capabilities.,https://goo.gl/P7bhwt
2017-03-22,2017,3,4,Missile Provocation,Ballistic Missile Launch (type unknown),"North Korea attempted to launch a ballistic missile from a location near Kalma on the East Coast. The missile reportedly exploded shortly after take off. Joseph Yun, the U.S. special representative for North Korea policy, was in Seoul to meet with his South Korean counterpart at the time of the launch.",http://www.cnn.com/2017/03/21/asia/north-korea-missile-test/
2017-03-18,2017,3,7,Other,Rocket Engine Test,North Korea tested a new high-thrust engine for a ballistic missile at the Sohae satellite launching station in North Pyongan Province.,http://www.reuters.com/article/us-northkorea-missiles-idUSKBN16R02P
2017-03-06,2017,3,2,Missile Provocation,Medium-range Ballistic Missile Launch,North Korea launched four ballistic missiles into the East Sea from a location near Tongchang-ri in North Pyongan province. The missiles were reportedly of the SCUD-ER or Hwasong-7 type. Three of the missiles traveled at least 1000km (620 miles) and landed in Japan's EEZ.,http://www.cnn.com/2017/03/06/asia/north-korea-missile-launch-analysis/index.html
2017-02-12,2017,2,1,Missile Provocation,Medium-range Ballistic Missile Launch,"North Korea test-fired a new medium-range missile called the Pukguksong-2 from a location near Kusong, North Pyongan province. The missile is believed to be a variant of the KN-11 and, according to the South Korean Joint Chiefs of Staff, was launched using solid-fuel engine technology. A similar type of submarine launched ballistic missile (SLBM) was successfully launched on August 24, 2016.",https://www.nytimes.com/2017/02/13/world/asia/north-korea-missile-launch-success.html?_r=0
2016-10-20,2016,10,5,Missile Provocation,Intermediate-range Ballistic Missile Launch,North Korea fired a Musudan missile from a location near Banghyon Airport in Kusong prior to the third U.S. presidential debate between Hillary Clinton and Donald Trump. The test reportedly failed.,http://www.cnn.com/2016/10/19/asia/north-korea-missile-launch-fail/index.html
2016-10-15,2016,10,7,Missile Provocation,Intermediate-range Ballistic Missile Launch,North Korea launched a presumed Musudan missile from a location near Kusong in the northwestern part of the country. U.S. and ROK military sources stated that the launch failed.,http://www.reuters.com/article/us-korea-north-usa-idUSKBN12F0S2Video
2016-09-20,2016,9,3,Other,Rocket Engine Test,North Korea tested a long-range ballistic missile rocket engine at the Sohae satellite launching facility in North Pyongan province.,https://www.nytimes.com/2016/09/21/world/asia/north-korea-says-it-has-tested-a-new-long-range-rocket-engine.html
2016-09-09,2016,9,6,Nuclear Provocation,Nuclear Test,North Korea conducted its fifth nuclear test at the Punggye-ri nuclear test site.,http://www.cnn.com/2016/09/08/asia/north-korea-seismic-activity/Video
2016-09-05,2016,9,2,Missile Provocation,Medium-range Ballistic Missile Launch,North Korea reportedly fired 3 SCUD-ER missiles into the East Sea from Hwangju near the west coast.,http://english.yonhapnews.co.kr/national/2016/09/09/0301000000AEN20160909000300315.html
2016-08-24,2016,8,4,Missile Provocation,Submarine Launched Ballistic Missile Launch,North Korea fired a KN-11 submarine launched ballistic missile (SLBM) into the East Sea from a location near Sinpo.,http://www.reuters.com/article/us-northkorea-missiles-idUSKCN10Y2B0
2016-08-03,2016,8,4,Missile Provocation,Medium-range Ballistic Missile Launch,North Korea launched 2 Nodong missiles from South Hwanghae province on the western coast.,http://www.cnn.com/2016/08/02/asia/north-korea-missile/index.htmlVideo: https://www.youtube.com/watch?v=gvVQza8fYX8
2016-07-19,2016,7,3,Missile Provocation,Medium-range Ballistic Missile Launch,North Korea fired 3 Nodong ballistic missiles into the East Sea from the county of Hwangju in North Hwanghae province.,http://www.reuters.com/article/us-northkorea-missiles-idUSKCN0ZY2PC
2016-07-09,2016,7,7,Missile Provocation,Submarine Launched Ballistic Missile Launch,"North Korea fired a submarine launched ballistic missile (SLBM), presumed to be a KN-11, from the east coast city of Sinpo.",http://www.cnn.com/2016/07/09/asia/north-korea-submarine-missile
2016-06-22,2016,6,4,Missile Provocation,Intermediate-range Ballistic Missile Launch,North Korea fired two intermediate-range ballistic missiles from the east coast city of Wonsan.,http://www.nytimes.com/2016/06/22/world/asia/north-korean-missile-test-fails-south-korea-says.html?ref=world&_r=0
2016-05-31,2016,5,3,Missile Provocation,Intermediate-range Ballistic Missile Launch,"North Korea conducted a failed missile launch, of what was believed to be a Musudan missile, from the eastern city of Wonsan. This was the 4th attempt at testing the Musudan in 2016.",http://www.reuters.com/article/us-northkorea-missile-fail-idUSKCN0YM015
2016-04-28,2016,4,5,Missile Provocation,Intermediate-range Ballistic Missile Launch,"North Korea conducted a two failed missile launches, of what was believed to be Musudan missiles, intermediate-range ballistic missiles.",http://www.defense.gov/News-Article-View/Article/742445/pentagon-press-secretary-north-korean-test-violates-un-resolutions
2016-04-23,2016,4,7,Missile Provocation,Submarine Launched Ballistic Missile Launch,North Korea test-launched a KN-11 submarine launched ballistic missile (SLBM) from near its eastern coastal city of Sinpo at around 6:30 pm in the East Sea.,http://www.mofa.go.kr/webmodule/htsboard/template/read/engreadboard.jsp?typeID=12&boardid=302&seqno=316455&tableName=TYPE_ENGLISH
2016-04-15,2016,4,6,Missile Provocation,Intermediate-range Ballistic Missile Launch,North Korea conducted a failed test-launch of a medium-range ballistic missile for the anniversary of Kim Il Sung's birthday.,http://www.mofa.go.kr/webmodule/htsboard/template/read/engreadboard.jsp?typeID=12&boardid=303&seqno=316434
2016-04-09,2016,4,7,Other,Rocket Engine Test,North Korea conducted a test of a liquid-fuel engine for a ballistic missile at the Sohae satellite launching station in North Pyongan province.,http://www.reuters.com/article/us-northkorea-nuclear-idUSKCN0X52K3
2016-04-06,2016,4,4,Missile Provocation,Submarine Launched Ballistic Missile Launch,North Korea attempted to test-launch a ballistic missile from a Sinpo-class submarine in the East Sea. The test was halted due to malfunctions.,https://www.nknews.org/2016/04/n-korean-submarine-attempts-to-test-fire-ballistic-missile-mbn/
2016-04-01,2016,4,6,Missile Provocation,Long-range Surface-to-Air Missile Launch,"North Korea fired 5 surface-to-air missiles, presumed to be KN-06, from South Hamgyong Province into the East Sea.",http://english.yonhapnews.co.kr/national/2016/04/04/39/0301000000AEN20160404010300315F.html
2016-03-29,2016,3,3,Missile Provocation,Short-range Ballistic Missile Launch,North Korea fired a short-range projectile from an area near Wonsan into the East Sea.,http://english.yonhapnews.co.kr/national/2016/03/29/0/0301000000AEN20160329010051320F.html
2016-03-24,2016,3,5,Other,Rocket Engine Test,North Korea claims to have tested a new rocket engine for ballistic missiles.,https://www.nytimes.com/2016/03/25/world/asia/north-korea-solid-fuel-rocket-engine.html
2016-03-21,2016,3,2,Missile Provocation,Short-range Ballistic Missile Launch,North Korea fired 5 short-range ballistic missiles from a location near Hamhung into the East Sea.,http://www.koreaherald.com/view.php?ud=20160321000981
2016-03-18,2016,3,6,Missile Provocation,Medium-range Ballistic Missile Launch,"North Korea fired 2 missiles from an area near Sukchon. The first missile, believed to be a Nodong, landed within the Japanese ADIZ in the East Sea.",http://english.yonhapnews.co.kr/national/2016/03/18/4/0301000000AEN20160318000853315F.html
2016-03-10,2016,3,5,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea launched 2 missiles, likely Scuds, into the East Sea. They were launched from Hwangju County in North Hwanghae Province in response to the Foal Eagle and Key Resolve U.S.-ROK joint exercises.",http://www.bbc.com/news/world-asia-35770198
2016-03-03,2016,3,5,Missile Provocation,Short-range Ballistic Missile Launch,North Korea fired 6 short-range projectiles into the East Sea from a location near Wonsan.,http://www.koreatimes.co.kr/www/news/nation/2016/03/116_199569.html
2016-02-07,2016,2,1,Missile Provocation,Satellite Launch (Other Provocation),"Controversy erupted when the North Koreans launched a rocket into orbit, the earth observation satellite Kwangmyongsong-4, which the international community viewed as a testing of its inter-continential ballistic missile (ICBM) capabilities.",http://www.cnn.com/2016/02/06/asia/north-korea-rocket-launch-window/
2016-01-06,2016,1,4,Nuclear Provocation,Nuclear Test,North Korea conducted its fourth nuclear test at the Punggye-ri nuclear test site. North Korea claimed it had successfully tested a hydrogen bomb.,http://www.reuters.com/article/us-northkorea-nuclear-idUSKBN0UK0G420160106
2015-12-21,2015,12,2,Missile Provocation,Submarine Launched Ballistic Missile Launch,"North Korea fired a submarine launched ballistic missile (SLBM), presumed to be a KN-11, from the east coast city of Sinpo.",http://www.ibtimes.com/north-korea-releases-video-successful-submarine-launched-ballistic-missile-test-2257807
2015-11-28,2015,11,7,Missile Provocation,Submarine Launched Ballistic Missile Launch,North Korea tested a submarine launched ballistic missile (KN-11) near Sinpo. The test was reportedly a failure as the missile failed to eject properly.,http://www.reuters.com/article/us-northkorea-missile-idUSKBN0TH09M20151128
2015-08-20,2015,8,5,Other,DMZ Exchange of Fire,"North and South Korea exchanged artillery fire near Yeoncheon, northwest of Seoul.",http://english.yonhapnews.co.kr/search1/2603000000.html?cid=AEN20150820011155315
2015-08-04,2015,8,3,Other,Land Mine Explosion,"Three landmines, presumably buried by the North Koreans, exploded South of the DMZ, injuring two South Korean soldiers on patrol.",http://www.nytimes.com/2015/08/11/world/asia/north-korea-placed-mines-that-maimed-2-south-korean-soldiers-at-dmz-seoul-says.html
2015-06-14,2015,6,1,Missile Provocation,Anti-Ship Cruise Missile Launch,North Korea fired 3 KN-01 missiles from a site near Wonsan.,http://english.yonhapnews.co.kr/national/2015/06/14/46/0301000000AEN20150614004200315F.html
2015-05-08,2015,5,6,Missile Provocation,Submarine Launched Ballistic Missile Launch,"North Korea claimed to have successfully test-fired a submarine-launched ballistic missile (SLBM). However, multiple sources concur that the photographs North Korea released had been doctored, and concluded that their SLBM capabilities were as of yet, still unrealized.",http://www.mofa.go.kr/webmodule/htsboard/template/read/engreadboard.jsp?typeID=12&boardid=303&seqno=315220
2015-04-03,2015,4,6,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea test-fired 4 short-range ballistic missiles into the West Sea from Dongchang-ri, North Pyongan Province. They were likely KN-02 missiles.",http://www.dailymail.co.uk/wires/afp/article-3024448/N-Korea-fires-four-short-range-missiles-sea.html
2015-04-02,2015,4,5,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired 1 short-range ballistic missile, presumably KN-02 from Dongchang-ri in the north of the country. ROK Joint Chief of Staff mentioned in its statement the missile had a range of about 140 km.",http://www.upi.com/Top_News/World-News/2015/04/03/North-Korea-test-fires-four-short-range-missiles-into-Yellow-Sea/9051428068946/
2015-03-13,2015,3,6,Missile Provocation,Short-range Ballistic Missile Launch,North Korea launched 7 surface-to-air missiles from its east coast.,http://www.reuters.com/article/us-northkorea-missiles-idUSKBN0M90EN20150313
2015-03-02,2015,3,2,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired 2 short-range ballistic missiles into the East Sea from the western port city of Nampo. The missiles are presumed to be Scud-C based on their range, which was estimated to be 490 km.",http://www.cnn.com/2015/03/01/asia/north-korea-missiles-fired/
2015-02-08,2015,2,1,Missile Provocation,Short-range Ballistic Missile Launch,North Korea fired 5 short-range ballistic missiles from a location near Wonsan into the East Sea.,http://www.nytimes.com/2015/02/09/world/asia/north-korea-launches-5-short-range-missiles.html?_r=0
2015-02-07,2015,2,7,Missile Provocation,Anti-Ship Cruise Missile Launch,North Korea test-fired an anti-ship cruise missile that resembles the Russian KH-35 missile. It was fired from a Korean People’s Navy (KPN) East Sea Fleet vessel.,http://www.reuters.com/article/us-northkorea-missile-idUSKBN0LB04B20150207
2014-10-19,2014,10,1,Other,DMZ Exchange of Fire,"South Korea fired towards 10 North Korean soldiers who were approaching the military demarcation line (MDL) in Paju after broadcasting warning messages. The North Koreans fired back, to which the South Koreans also returned fire.",http://www.nytimes.com/2014/10/20/world/asia/gunfire-exchanged-on-korean-boundary.html
2014-10-10,2014,10,6,Other,DMZ Exchange of Fire,South and North Korea exchanged fire across their border after a group of South Korean activists had sent leaflets flying into the North from the border town of Yeoncheon.,http://www.nytimes.com/2014/10/11/world/asia/koreas-exchange-fire-after-activists-launch-balloons-over-border.html
2014-10-07,2014,10,3,Other,NLL Exchange of Fire,North and South Korean patrol boats briefly exchanged fire near the Northern Limit Line (NLL) in the Yellow Sea following the North Korean vessel's violation of the NLL border.,http://english.yonhapnews.co.kr/national/2014/10/07/3/0301000000AEN20141007003151315F.html
2014-09-06,2014,9,7,Missile Provocation,Short-range Ballistic Missile Launch,North Korea launched three short-range missiles into the East Sea from a location near Wonsan.,http://www.telegraph.co.uk/news/worldnews/asia/northkorea/11078937/North-Korea-tests-missiles-ahead-of-South-Korea-holiday.html
2014-09-01,2014,9,2,Missile Provocation,Short-range Ballistic Missile Launch,North Korea fired a missile into the East Sea from a location in Chagang province near the border with China.,http://english.yonhapnews.co.kr/national/2014/09/01/50/0301000000AEN20140901005051320F.html
2014-08-14,2014,8,5,Missile Provocation,Short-range Ballistic Missile Launch,North Korea launched three short-range rockets into the East Sea from a location near Wonsan. The launch occurred shortly before Pope Francis was scheduled to arrive in South Korea for a visit.,http://www.reuters.com/article/us-northkorea-rockets-idUSKBN0GE06D20140814
2014-07-26,2014,7,7,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired a Scud missile into the East Sea, on the eve of the anniversary of the signing of the armistice. The missile was launched from Jangsan Cape, in South Hwanghae Province.",http://www.koreatimes.co.kr/www/news/nation/2016/06/113_161740.html
2014-07-13,2014,7,1,Missile Provocation,Short-range Ballistic Missile Launch,North Korea fired 2 Scud missiles into the East Sea.,http://www.cnn.com/2014/07/12/world/asia/north-korea-missiles/
2014-07-09,2014,7,4,Missile Provocation,Short-range Ballistic Missile Launch,North Korea launched 2 Scud missiles from Hwanghae province in a northeasterly direction. The missiles landed in the East Sea.,http://www.cnn.com/2014/07/08/world/asia/north-korea-missiles/
2014-07-02,2014,7,4,Missile Provocation,Short-range Missile Launch,North Korea fired two rockets from the port city of Wonsan. The missiles are presumed to be short-range KN-09 projectiles and flew about 110 miles (180km).,http://www.bbc.com/news/world-asia-28122650
2014-06-29,2014,6,1,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired 2 Scud missiles into the East Sea, 4 days before President Xi Jinping's visit to South Korea.",http://www.cnn.com/2014/06/28/world/asia/north-korea-missile-launch/
2014-06-26,2014,6,5,Missile Provocation,Short-range Missile Launch,North Korea fired 3 short-range missiles from a location near Wonsan into the East Sea. North Korea claimed they were testing newly developed precision guided missiles.,http://bigstory.ap.org/article/report-north-korea-fires-short-range-projectiles
2014-05-22,2014,5,5,Other,NLL Exchange of Fire,"North Korea fired artillery near a South Korean warship on patrol near the Northern Limit Line. The South Korean vessel was not hit, and responded by firing several shells into North Korean waters near a North Korean patrol boat.",http://www.reuters.com/article/us-northkorea-firing-idUSBREA4L09Q20140522
2014-03-31,2014,3,2,Other,NLL Exchange of Fire,"North Korea held a live-fire exercise near the Northern Limit Line (NLL), after sending out a no-sail zone warning. South Korea responded by firing rounds from K-9 self-propelled howitzers as several artillery shells fell south of the NLL.",http://www.cnn.com/2014/03/30/world/asia/north-korea-nuclear/
2014-03-26,2014,3,4,Missile Provocation,Medium-range Ballistic Missile Launch,"North Korea fired 2 Nodong missiles from Sukchon, into the East Sea, its first tests of the Nodong since 2009.",http://www.bbc.com/news/world-asia-26743197
2014-03-23,2014,3,1,Missile Provocation,Short-range Missile Launch,"North Korea test-fired 16 short-range Free Rocket Over Ground (FROG), from Wonsan into the East Sea.",http://english.yonhapnews.co.kr/national/2014/03/23/26/0301000000AEN20140323000200315F.html
2014-03-22,2014,3,7,Missile Provocation,Short-range Missile Launch,"North Korea launched 30 short-range missiles into the East Sea from Wonsan. As with the March 16 test-launches, North Korea failed to send out navigational warning to ships and aircrafts in the area.",http://english.yonhapnews.co.kr/national/2014/03/22/0301000000AEN20140322000400315.html
2014-03-16,2014,3,1,Missile Provocation,Short-range Missile Launch,"North Korea launched 25 short-range missiles on March 16. The missiles, appeared to be Free Rocket Over Ground (FROG), were launched from Wonsan and landed in the East Sea after travelling approxiamately 70 km.",http://english.yonhapnews.co.kr/national/2014/03/16/90/0301000000AEN20140316003053315F.html
2014-03-04,2014,3,3,Missile Provocation,Short-range Ballistic Missile Launch,North Korea launched short-range missiles from the port city of Wonsan on the east coast. A China Southern Airlines flight carrying 220 passengers passed through the same airspace as traversed by the missiles just minutes after they were launched. North Korea gave no warning before firing the missiles and they travelled approximately 155 km.,http://www.wsj.com/articles/SB10001424052702303824204579420623335971350M
2014-03-03,2014,3,2,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired 2 short-range missiles, one from Gitdaeryeong and the other from Wonsan, into a northeasterly direction. The missiles were Scud-class, and landed in Japan's air defense identification zone (ADIZ). They landed 400-500 km northwest of Wajima, Ishikawa Prefecture, Japan.",http://www.cnn.com/2014/03/02/world/asia/north-korea-missiles/
2014-02-27,2014,2,5,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired 4 short-range ballistic missiles, likely Scuds, from its Gitdaeryeong area on the North's southeastern coast, into the East Sea.",http://www.reuters.com/article/us-korea-north-missiles-idUSBREA1Q0U520140227 Video: https://www.youtube.com/watch?v=5b1yNzYfruE
2013-08-29,2013,8,5,Nuclear Provocation,Nuclear Fuel Reactor Operation,Operation of the second nuclear reactor in Yongbyon started.,www.mnd.go.kr/user/mnd/upload/pblictn/PBLICTNEBOOK_201506120237036840.pdf
2013-05-20,2013,5,2,Missile Provocation,Short-range Ballistic Missile Launch,North Korea fired 2 short-range missiles into the East Sea. The projectiles fired are thought to be KN-02 short-range missiles or 300mm artillery rockets.,https://www.nknews.org/2013/05/north-korea-launches-sixth-missile-into-east-sea/
2013-05-19,2013,5,1,Missile Provocation,Short-range Missile Launch,North Korea fired a short-range missile into the East Sea.,http://www.reuters.com/article/us-korea-north-missiles-idUSBRE94I04720130519
2013-05-18,2013,5,7,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired 3 short-range missiles into the East Sea, two in the morning and another in the afternoon. The missiles launched may be modified anti-ship missiles or the KN-02 short-range ballistic missiles that has a range of 120 km.",http://www.nytimes.com/2013/05/19/world/asia/north-korea-missiles.html?_r=0
2013-03-15,2013,3,6,Missile Provocation,Short-range Ballistic Missile Launch,North Korea fired two KN-02 short-range missiles into international waters.,https://www.nknews.org/2013/03/breaking-north-korea-launches-short-range-missiles-on-east-coast/
2013-02-12,2013,2,3,Nuclear Provocation,Nuclear Test,North Korea conducted the third underground nuclear test at Punggye-ri nuclear test site.,http://www.wsj.com/articles/SB10001424127887324880504578298943003246654
2012-12-12,2012,12,4,Missile Provocation,Satellite Launch (Other Provocation),North Korea launched a Kwangmyongsong satellite (Unha-3 ICBM) and claimed to have successfully placed it in the orbit. Rocket was launched from the Dongchang-ri launch site towards the South.,http://www.nytimes.com/2012/12/12/world/asia/north-korea-launches-rocket-defying-likely-sanctions.html
2012-04-13,2012,4,6,Missile Provocation,Satellite Launch (Other Provocation),"North Korea attempted to launch a Unha-3 rocket (ICBM), but it broke apart 81 seconds into flight, then fell into the ocean. North Korea later admitted its failure.",https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=8&cad=rja&uact=8&ved=0ahUKEwiig6LAsZbNAhVMkx4KHSyiB4gQFghPMAc&url=http%3A%2F%2Fwww.mofa.go.kr%2Fwebmodule%2Fcommon%2Fdownload.jsp%3Fboardid%3D8701%26tablename%3DTYPE_DATABOARD%26seqno%3D058fd3040ff800105efb3f8d%26fileseq%3Dfbcfd1003f93f85fd4fedf9e&usg=AFQjCNGrgQDhfmJZuJR4kDS8zHJFTaEFmQ&sig2=nsL29cSYcHu6bOeW3MX00Q
2012-03-29,2012,3,5,Missile Provocation,Anti-Ship Cruise Missile Launch,North Korea fired 2 KN-01 short-range anti-ship cruise missiles from its west coast in North Pyongan Province.,http://english.chosun.com/site/data/html_dir/2012/03/30/2012033001081.html
2011-06-08,2011,6,4,Missile Provocation,Short-range Surface-to-Air Missile Launch,North Korea fired a KN-06 surface-to-air missile from North Pyongan Province into the Yellow Sea.,http://www.cnn.com/2011/WORLD/asiapcf/06/07/north.korea.missiles/
2010-11-23,2010,11,3,Other,Shelling of Yeonpyeong Island,"North Korea fired 170 artillery shots at a ROK Marine detachment and civilian residences on Yeonpyeong Island near the Northern Limit Line in the West Sea. Two ROK Marines and two civilians were killed, while 16 Marines and other civilians were injured. A total of 133 buildings on the island were damaged as a result of the attack.",http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080718210240.pdf
2010-11-12,2010,11,6,Nuclear Provocation,Uranium Enrichment Program Disclosure,"North Korea disclosed a uranium enrichment facility to Dr. Siegfried Hecker, a U.S. nuclear specialist at Stanford University",http://www.mnd.go.kr/user/mnd/upload/pblictn/PBLICTNEBOOK_201304110724185440.pdf
2010-08-09,2010,8,2,Other,Artillery Fire,North Korea fired artillery rounds near NLL.,http://www.mnd.go.kr/user/mnd/upload/pblictn/PBLICTNEBOOK_201304110724185440.pdf
2010-03-26,2010,3,6,Other,Sinking of the ROKS Cheonan,The ROK Navy corvette Cheonan sank in the Yellow Sea just south of the Northern Limit Line near Baengnyeong Island after an explosion in the ship's stern.,http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080718210240.pdf
2010-01-31,2010,1,1,Other,No-Sail Zone Declared,North Korea announced 5 additional no-sail zones from January 31 to February 2,http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080718210240.pdf
2010-01-29,2010,1,6,Other,Artillery Fire,North Korea fired artillery rounds near NLL.,http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080718210240.pdf
2010-01-28,2010,1,5,Other,Artillery Fire,North Korea fired artillery rounds near NLL.,http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080718210240.pdf
2010-01-27,2010,1,4,Other,Artillery Fire,North Korea fired about 30 artillery rounds into the West Sea toward NLL. South Korea immediately responded with 100 warning shots from a marine base near the sea border. North Korea later claimed the firing had been part of an annual military drill and firing would continue.,http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080718210240.pdf
2010-01-26,2010,1,3,Other,No-Sail Zone Declared,North Korea declared a no-sail zone in the West Sea from January 25 to March 29.,http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080718210240.pdf
